Date,Open,High,Low,Close,Adj Close,Volume
2020-05-27,302.119995,303.570007,296.869995,303.529999,300.995270,104817400
2020-05-28,304.649994,306.839996,302.239990,302.970001,300.439941,90405200
2020-05-29,302.459991,304.959991,299.470001,304.320007,301.778687,119265700
2020-06-01,303.619995,306.209991,303.059998,305.549988,302.998383,55758300
2020-06-02,306.549988,308.130005,305.100006,308.079987,305.507233,74267200
2020-06-03,310.239990,313.220001,309.940002,312.179993,309.573029,92567600
2020-06-04,311.109985,313.000000,309.079987,311.359985,308.759857,75794400
2020-06-05,317.230011,321.269989,317.160004,319.339996,316.673218,150524700
2020-06-08,320.220001,323.410004,319.630005,323.200012,320.501007,73641200
2020-06-09,320.299988,323.279999,319.359985,320.790009,318.111145,77479200
2020-06-10,321.420013,322.390015,318.220001,319.000000,316.336090,95000800
2020-06-11,311.459991,312.149994,300.010010,300.609985,298.099640,209243600
2020-06-12,308.239990,309.079987,298.600006,304.209991,301.669586,194529100
2020-06-15,298.019989,308.279999,296.739990,307.049988,304.485870,135782700
2020-06-16,315.480011,315.640015,307.670013,312.959991,310.346527,137627500
2020-06-17,314.070007,314.390015,310.859985,311.660004,309.057373,82954600
2020-06-18,310.010010,312.299988,309.510010,311.779999,309.176361,80828700
2020-06-19,314.170013,314.380005,306.529999,308.640015,307.409454,135549600
2020-06-22,307.989990,311.049988,306.750000,310.619995,309.381561,74649400
2020-06-23,313.489990,314.500000,311.609985,312.049988,310.805847,68471200
2020-06-24,309.839996,310.510010,302.100006,304.089996,302.877594,132813500
2020-06-25,303.470001,307.640015,301.279999,307.350006,306.124603,89468000
2020-06-26,306.160004,306.390015,299.420013,300.049988,298.853699,127961000
2020-06-29,301.410004,304.609985,298.929993,304.459991,303.246094,79773300
2020-06-30,303.989990,310.200012,303.820007,308.359985,307.130554,113394800
2020-07-01,309.570007,311.890015,309.070007,310.519989,309.281952,72396500
2020-07-02,314.239990,315.700012,311.510010,312.230011,310.985138,69344200
2020-07-06,316.369995,317.679993,315.559998,317.049988,315.785919,61713800
2020-07-07,315.380005,317.519989,313.369995,313.779999,312.528961,82910000
2020-07-08,314.609985,316.299988,312.700012,316.179993,314.919373,54638600
2020-07-09,316.839996,317.100006,310.679993,314.380005,313.126556,83354200
2020-07-10,314.309998,317.880005,312.760010,317.589996,316.323761,57550400
2020-07-13,320.130005,322.709991,314.130005,314.839996,313.584717,102997500
2020-07-14,313.299988,319.760010,312.000000,318.920013,317.648468,93657000
2020-07-15,322.410004,323.040009,319.269989,321.850006,320.566772,87196500
2020-07-16,319.790009,321.279999,319.089996,320.790009,319.511017,54622500
2020-07-17,321.880005,322.570007,319.739990,321.720001,320.437286,62774900
2020-07-20,321.429993,325.130005,320.619995,324.320007,323.026947,56308800
2020-07-21,326.450012,326.929993,323.940002,325.010010,323.714203,57499000
2020-07-22,324.619995,327.200012,324.500000,326.859985,325.556793,57792900
2020-07-23,326.470001,327.230011,321.480011,322.959991,321.672333,75738000
2020-07-24,320.950012,321.989990,319.250000,320.880005,319.600647,73766600
2020-07-27,321.630005,323.410004,320.769989,323.220001,321.931305,48293000
2020-07-28,322.429993,323.640015,320.850006,321.170013,319.889496,57495000
2020-07-29,322.119995,325.730011,322.079987,325.119995,323.823730,48454200
2020-07-30,321.899994,324.410004,319.640015,323.959991,322.668365,61861700
2020-07-31,325.899994,326.630005,321.329987,326.519989,325.218140,85210800
2020-08-03,328.320007,329.619995,327.730011,328.790009,327.479126,53077900
2020-08-04,327.859985,330.059998,327.859985,330.059998,328.744049,41917900
2020-08-05,331.470001,332.390015,331.179993,332.109985,330.785858,42866400
2020-08-06,331.480011,334.459991,331.130005,334.329987,332.997009,43679400
2020-08-07,333.279999,334.880005,332.299988,334.570007,333.236084,57265200
2020-08-10,335.059998,335.769989,332.959991,335.570007,334.232086,44282100
2020-08-11,336.850006,337.540009,332.010010,332.799988,331.473114,69601100
2020-08-12,335.440002,338.279999,335.410004,337.440002,336.094635,53826100
2020-08-13,336.609985,338.250000,335.829987,336.829987,335.487030,41816100
2020-08-14,336.410004,337.420013,335.619995,336.839996,335.497009,47260400
2020-08-17,337.940002,338.339996,336.850006,337.910004,336.562744,35481000
2020-08-18,338.339996,339.100006,336.609985,338.640015,337.289856,38733900
2020-08-19,339.049988,339.609985,336.619995,337.230011,335.885468,68054200
2020-08-20,335.359985,338.799988,335.220001,338.279999,336.931274,42207800
2020-08-21,337.920013,339.720001,337.549988,339.480011,338.126495,55106600
2020-08-24,342.119995,343.000000,339.450012,342.920013,341.552795,48588700
2020-08-25,343.529999,344.209991,342.269989,344.119995,342.747986,38463400
2020-08-26,344.760010,347.859985,344.170013,347.570007,346.184235,50790200
2020-08-27,348.510010,349.899994,346.529999,348.329987,346.941193,58034100
2020-08-28,349.440002,350.720001,348.149994,350.579987,349.182220,48588900
2020-08-31,350.350006,351.299988,349.059998,349.309998,347.917297,66099200
2020-09-01,350.209991,352.709991,349.239990,352.600006,351.194183,54999300
2020-09-02,354.670013,358.750000,353.429993,357.700012,356.273865,69540000
2020-09-03,355.869995,356.380005,342.589996,345.390015,344.012939,148011100
2020-09-04,346.130005,347.829987,334.869995,342.570007,341.204163,139156300
2020-09-08,336.709991,342.640015,332.880005,333.209991,331.881470,114465300
2020-09-09,337.549988,342.459991,336.609985,339.790009,338.435272,91462300
2020-09-10,341.820007,342.529999,332.850006,333.890015,332.558777,90569500
2020-09-11,335.820007,336.970001,331.000000,334.059998,332.728088,84680200
2020-09-14,337.489990,340.380005,334.220001,338.459991,337.110535,65605700
2020-09-15,341.119995,342.019989,338.470001,340.170013,338.813751,52920900
2020-09-16,341.510010,343.059998,338.519989,338.820007,337.469116,82096000
2020-09-17,333.559998,337.700012,332.989990,335.839996,334.501007,91523300
2020-09-18,335.369995,335.489990,327.970001,330.649994,330.649994,105877900
2020-09-21,325.700012,327.130005,321.730011,326.970001,326.970001,99450800
2020-09-22,328.570007,330.899994,325.859985,330.299988,330.299988,63612100
2020-09-23,330.899994,331.200012,322.100006,322.640015,322.640015,93112200
2020-09-24,321.220001,326.799988,319.799988,323.500000,323.500000,76681300
2020-09-25,322.579987,329.579987,321.640015,328.730011,328.730011,71069400
2020-09-28,333.220001,334.959991,332.149994,334.190002,334.190002,64584600
2020-09-29,333.970001,334.769989,331.619995,332.369995,332.369995,51304000
2020-09-30,333.089996,338.290009,332.880005,334.890015,334.890015,103653800
2020-10-01,337.690002,338.739990,335.010010,337.040009,337.040009,88698700
2020-10-02,331.700012,337.010010,331.190002,333.839996,333.839996,89431100
2020-10-05,336.059998,339.959991,336.010010,339.760010,339.760010,45713100
2020-10-06,339.910004,342.170013,334.380005,334.929993,334.929993,90128900
2020-10-07,338.119995,341.630005,338.089996,340.760010,340.760010,56999600
2020-10-08,342.850006,343.850006,341.859985,343.779999,343.779999,45242500
2020-10-09,345.559998,347.350006,344.890015,346.850006,346.850006,59452800
